TRIADE,INTERVALLES,DEGRÉS ALTERÉS,NOTES                                                            ,LIENS
Triades Majeures,F – 3 – 5,—,—,cf.
Triades Mineures,F – ♭3 – 5,♭3,—,cf.
Triades Diminuées,F – ♭3 – ♭5,"♭3, ♭5",—,—
Triades Augmentées,F – 3 – 5♯,♯5,—,—
