RENVERSEMENT,INTERVALLES,NOTES                                                            ,LIENS
Fondamentale,T – 3 – 5,Accord parfait (fondamental),cf.
1er renversement,3–T–5 ou 3–5–T,Accord de sixte (6),cf.
2è renversement,5–T–3 ou 5–3–T,Accord de sixte et quarte (6/4),—
